id,email,label
64,Attached is the regular invoice for this month using our registered payment details.,safe
21,Attached is the regular invoice for this month using our registered payment details.,safe
95,Please update our supplier bank details immediately; the payment is time sensitive.,dangerous
71,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
41,Attached is the regular invoice for this month using our registered payment details.,safe
87,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
36,Following up on the scheduled invoice payment; no bank details have changed.,safe
86,Please update our supplier bank details immediately; the payment is time sensitive.,dangerous
35,Routine supplier payment confirmation from the established company email.,safe
90,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
3,Attached is the regular invoice for this month using our registered payment details.,safe
83,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
43,Our finance team confirms the existing payment account remains unchanged.,safe
22,Our finance team confirms the existing payment account remains unchanged.,safe
59,Following up on the scheduled invoice payment; no bank details have changed.,safe
61,Attached is the regular invoice for this month using our registered payment details.,safe
23,Routine supplier payment confirmation from the established company email.,safe
12,Following up on the scheduled invoice payment; no bank details have changed.,safe
32,Routine supplier payment confirmation from the established company email.,safe
30,Attached is the regular invoice for this month using our registered payment details.,safe
14,Attached is the regular invoice for this month using our registered payment details.,safe
27,Please process the invoice using the bank details already on file.,safe
80,Our payment account has changed unexpectedly. Send the next payment to this new account.,dangerous
45,Following up on the scheduled invoice payment; no bank details have changed.,safe
28,Routine supplier payment confirmation from the established company email.,safe
16,Our finance team confirms the existing payment account remains unchanged.,safe
5,Our finance team confirms the existing payment account remains unchanged.,safe
13,Following up on the scheduled invoice payment; no bank details have changed.,safe
46,Following up on the scheduled invoice payment; no bank details have changed.,safe
76,Our payment account has changed unexpectedly. Send the next payment to this new account.,dangerous
88,New bank details attached for the outstanding invoice; please update them immediately.,dangerous
7,Our finance team confirms the existing payment account remains unchanged.,safe
50,Our finance team confirms the existing payment account remains unchanged.,safe
33,Our finance team confirms the existing payment account remains unchanged.,safe
17,Following up on the scheduled invoice payment; no bank details have changed.,safe
81,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
82,"Urgent bank-change request from an unfamiliar sender, asking finance to act before verification.",dangerous
4,Following up on the scheduled invoice payment; no bank details have changed.,safe
79,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
18,Attached is the regular invoice for this month using our registered payment details.,safe
34,Our finance team confirms the existing payment account remains unchanged.,safe
39,Following up on the scheduled invoice payment; no bank details have changed.,safe
51,Following up on the scheduled invoice payment; no bank details have changed.,safe
92,Urgent: we changed our bank account today. Please use the new details for the payment due at noon.,dangerous
